customer_phone,apply_date_key,order_status_key,als_m12_id_nbank_orgnum,als_m3_id_nbank_min_inteday,als_m12_id_nbank_min_inteday,als_m12_id_nbank_week_orgnum,als_m12_id_min_inteday,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,als_m12_id_rel_orgnum,als_m12_id_cooff_orgnum,als_m12_id_bank_ret_orgnum,als_lst_id_nbank_consnum,als_m6_id_bank_min_inteday,als_d7_id_nbank_week_orgnum,als_m12_id_nbank_finlea_allnum,als_m12_id_bank_min_inteday,als_m12_id_af_orgnum,in_black_list,debt_pressure_index,model_risk_v7_stongyong_score,v6_seq_online,omriskscoregeneral,actual_age,gender,city_name,degree,card_num
4963e0b2596b7817887b46ba07de50c2,2023-02-06,3,7.0,0.0,0.0,6.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,-9999.0,0.0,0.0,0.0,,28.0,62.0,43.0,558.0,26.0,male,u,大学专科,4张及以上
b462a180908fa7637a82934469f3cda8,2023-02-06,3,,,,,,,,,,,,,,,,,,28.0,60.0,41.0,609.0,19.0,male,u,大学专科,无信用卡
a69022c3dfff5e7d797bc4fd8cd1d2d7,2023-02-06,3,18.0,0.0,0.0,3.0,0.0,0.0,-9999.0,0.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,0.0,1.0,,33.0,60.0,49.0,612.0,42.0,male,渭南市,大学专科,无信用卡
b457e5edc58a0e56ecad79c10aa7abc8,2023-02-06,2,5.0,-9999.0,0.0,3.0,0.0,0.0,-9999.0,4.0,0.0,0.0,1.0,38.0,-9999.0,0.0,16.0,2.0,,30.0,23.0,20.0,792.0,37.0,male,u,大学专科,4张及以上
a27b9e27d5325e4fdb0b3ebddbeff2dd,2023-02-04,6,,,,,,,,,,,,,,,,,,24.0,32.0,30.0,707.0,40.0,male,咸阳市,大学专科,无信用卡
6ff989302a31911268de1f3f22ad4386,2023-02-02,6,,,,,,,,,,,,,,,,,True,24.0,38.0,38.0,613.0,54.0,male,唐山市,大学本科,无信用卡
644d6b8e5e1681dec78208578c24d33c,2023-02-02,3,3.0,-9999.0,11.0,1.0,11.0,0.0,-9999.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,27.0,58.0,33.0,688.0,27.0,female,西安市,大学专科,4张及以上
6826905f5775afb5579ae218ff2b92f6,2023-02-02,2,1.0,-9999.0,-9999.0,0.0,16.0,0.0,-9999.0,4.0,0.0,0.0,1.0,35.0,-9999.0,0.0,35.0,0.0,,22.0,25.0,25.0,727.0,28.0,female,渭南市,大学本科,4张及以上
714d44214e7cb0a38ac01b11cc54339c,2023-02-02,2,2.0,52.0,52.0,1.0,52.0,0.0,-9999.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,25.0,70.0,45.0,542.0,28.0,male,咸阳市,大学专科,2张
ca27987bc76a8913f2d1c1b22d689af7,2023-02-01,3,13.0,11.0,0.0,5.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,33.0,0.0,0.0,19.0,1.0,True,31.0,55.0,38.0,636.0,29.0,female,u,大学专科,2张
2ccb052f469c71782c5a19b7d2c0dc22,2023-02-01,3,7.0,9.0,0.0,2.0,0.0,1.0,1.0,4.0,0.0,2.0,1.0,10.0,-9999.0,0.0,0.0,0.0,,33.0,50.0,23.0,681.0,23.0,male,西安市,大学本科,2张
31628e8cff2ff3f4c872104eefb35925,2023-02-01,2,1.0,-9999.0,-9999.0,0.0,34.0,0.0,-9999.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,21.0,26.0,27.0,816.0,40.0,male,咸阳市,大学专科,2张
b683b6cf5ae6c58e79eee8322eeeeb95,2023-02-01,3,13.0,0.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,0.0,1.0,0.0,-9999.0,0.0,0.0,0.0,,39.0,68.0,50.0,565.0,29.0,female,西安市,高中及以下,2张
db5317d47a743d3d1c78e767030d5c19,2023-01-31,2,2.0,-9999.0,207.0,0.0,68.0,1.0,0.0,2.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,179.0,0.0,,21.0,30.0,28.0,713.0,33.0,male,u,大学专科,4张及以上
c2736f762bfce51b8405b55ab15614f6,2023-01-30,2,,,,,,,,,,,,,,,,,,21.0,16.0,32.0,809.0,29.0,male,咸阳市,大学本科,2张
ab5b2e44af13b9e986b9c51e0e60e559,2023-01-30,3,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,0.0,0.0,1.0,-9999.0,-9999.0,0.0,-9999.0,0.0,,20.0,23.0,30.0,760.0,24.0,female,u,大学专科,2张
6a82c65625e294729070d19d8eb6aafa,2023-01-30,3,2.0,-9999.0,15.0,0.0,0.0,0.0,-9999.0,2.0,0.0,1.0,1.0,-9999.0,-9999.0,0.0,0.0,0.0,,27.0,22.0,48.0,654.0,37.0,male,四平市,大学本科,无信用卡
