gender_0,gender_1,degree_1,degree_2,degree_3,degree_4,degree_5,card_num_0,card_num_1,card_num_2,card_num_3,card_num_4,card_num_5,model_risk_v7_stongyong_score,omriskscoregeneral,als_m12_id_nbank_orgnum,als_m12_id_nbank_min_inteday,als_m12_id_min_inteday,als_m3_id_nbank_min_inteday,debt_pressure_index,v6_seq_online,als_m12_id_nbank_week_orgnum,als_lst_id_nbank_consnum,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,actual_age,order_status_key,fold
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.1992385268716963,0.8469585259689781,1,1,1,1,0.2909878149795643,0.2812407274581784,3,1,0,1,-1.3451472877902468,1.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.577782095841159,0.9133592031091748,0,1,5,1,-0.7212820215857934,-0.6829469721886466,1,0,0,1,1.8587316163516228,1.0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0606030405120752,0.7584242897820492,2,3,3,3,0.2909878149795643,-1.1212141083917488,3,1,2,2,-0.6331741979809425,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2953018999181876,0.6588232740717542,1,1,7,1,0.6284110938346834,0.2812407274581784,3,1,1,3,-0.8704985612507107,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.368726644425479,1.4888317383242127,0,1,7,1,-0.3838587427306741,-0.24467983598554435,1,0,0,1,0.7907719816376663,0.0,3.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6342781350257534,0.8912256440624426,2,5,4,1,0.2909878149795643,-0.1570264087449239,3,1,0,1,1.0280963449074343,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.23880586073359336,-0.8683923001527695,3,4,3,1,-0.04643546387555494,-1.2088675356323695,4,1,0,1,1.1467585265423184,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8037662525795362,0.6809568331184864,5,4,4,1,0.797122733262243,-1.2088675356323695,3,1,0,3,-0.27718765307629034,0.0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3261545311123495,-0.9790600953864307,6,2,2,2,1.303257651544922,0.2812407274581784,2,1,0,1,1.5027450714469706,0.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1340277850193665,-1.6652004258351296,2,6,7,1,1.4719692909724813,1.4207352815862444,2,1,0,2,-0.5145120163460585,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0041070013274809,-1.6209333077416652,6,2,2,2,2.315527488110279,-1.0335606811511284,2,1,2,2,-1.3451472877902468,0.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.012821703995216205,0.249352431707208,5,3,3,1,-0.21514710330311454,-1.3841743901136103,3,1,0,1,-0.8704985612507107,1.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.7472702133949419,-0.5585224734985184,3,6,4,1,-1.0587053004409126,-0.24467983598554435,2,1,0,2,-0.039863289806522206,0.0,2.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5212860566565648,0.9797598802493716,5,4,4,4,-0.21514710330311454,-2.2607086625198147,3,1,1,3,0.07879889182836186,0.0,1.0
