gender_0,gender_1,degree_1,degree_2,degree_3,degree_4,degree_5,card_num_0,card_num_1,card_num_2,card_num_3,card_num_4,card_num_5,model_risk_v7_stongyong_score,omriskscoregeneral,als_m12_id_nbank_orgnum,als_m12_id_nbank_min_inteday,als_m12_id_min_inteday,als_m3_id_nbank_min_inteday,debt_pressure_index,v6_seq_online,als_m12_id_nbank_week_orgnum,als_lst_id_nbank_consnum,als_d15_id_nbank_orgnum,als_m1_id_nbank_week_orgnum,actual_age,order_status_key,fold
1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,764.0,1.0,-9999.0,-9999.0,-9999.0,27.0,38.0,1.0,1.0,0.0,-9999.0,25.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,770.0,0.0,-9999.0,15.0,-9999.0,21.0,27.0,-9999.0,0.0,0.0,-9999.0,52.0,1.0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,756.0,2.0,1.0,1.0,1.0,27.0,22.0,1.0,1.0,2.0,0.0,31.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,34.0,747.0,1.0,-9999.0,127.0,-9999.0,29.0,38.0,1.0,1.0,1.0,1.0,29.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,822.0,0.0,-9999.0,77.0,-9999.0,23.0,32.0,-9999.0,0.0,0.0,-9999.0,43.0,0.0,3.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,768.0,2.0,24.0,7.0,-9999.0,27.0,33.0,1.0,1.0,0.0,-9999.0,45.0,1.0,1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,35.0,609.0,3.0,16.0,1.0,-9999.0,25.0,21.0,2.0,1.0,0.0,-9999.0,46.0,0.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,749.0,5.0,6.0,6.0,-9999.0,30.0,21.0,1.0,1.0,0.0,1.0,34.0,0.0,4.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,45.0,599.0,8.0,0.0,0.0,0.0,33.0,38.0,0.0,1.0,0.0,-9999.0,49.0,0.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,77.0,537.0,2.0,178.0,178.0,-9999.0,34.0,51.0,0.0,1.0,0.0,0.0,32.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,541.0,7.0,0.0,0.0,0.0,39.0,23.0,0.0,1.0,5.0,0.0,25.0,0.0,3.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,39.0,710.0,5.0,3.0,1.0,-9999.0,24.0,19.0,1.0,1.0,0.0,-9999.0,29.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,637.0,3.0,93.0,4.0,-9999.0,19.0,32.0,0.0,1.0,0.0,0.0,36.0,0.0,2.0
