iter	Logloss
0	0.6880234034
1	0.6834461558
2	0.6784872767
3	0.6742635671
4	0.6691885826
5	0.6650439363
6	0.6606690947
7	0.6564657609
8	0.6520861434
9	0.6476206245
10	0.6438147286
11	0.6397692729
12	0.6360925519
13	0.6322515862
14	0.6289866652
15	0.6259845246
16	0.6229915553
17	0.6203337744
18	0.6178190021
19	0.6157298148
20	0.6128221438
21	0.6103423695
22	0.6082675218
23	0.6061228133
24	0.6040389802
25	0.6016546454
26	0.599263127
27	0.5971709958
28	0.595328958
29	0.5933716993
30	0.591852712
31	0.5897232273
32	0.5882041331
33	0.5863347316
34	0.5846739095
35	0.5831920791
36	0.5817684914
37	0.5804776091
38	0.5789083927
39	0.5771314154
40	0.5760427864
41	0.5747536359
42	0.573329903
43	0.5721720203
44	0.5708591632
45	0.5696913865
46	0.568589937
47	0.5674889593
48	0.5662894129
49	0.5653918772
50	0.5645272867
51	0.5639007168
52	0.562993097
53	0.5620050187
54	0.5614375216
55	0.5607260135
56	0.559945091
57	0.5591785718
58	0.558278253
59	0.5574662922
60	0.5566751726
61	0.555860518
62	0.5550347766
63	0.5541401943
64	0.55345137
65	0.5527411162
66	0.5521511639
67	0.5513769236
68	0.5507776575
69	0.550290755
70	0.5498901682
71	0.549036849
72	0.5482424921
73	0.5476262346
74	0.5470547914
75	0.5462072652
76	0.5456400597
77	0.5452657115
78	0.544538305
79	0.5441735063
80	0.5436123752
81	0.5430774939
82	0.5425814964
83	0.5419466231
84	0.5415682722
85	0.5412643083
86	0.5406551042
87	0.540180861
88	0.5397631826
89	0.5393255015
90	0.539129432
91	0.5386759856
92	0.5382286686
93	0.5378334048
94	0.5374389365
95	0.5370707251
96	0.5368098432
97	0.5364860604
98	0.5361340637
99	0.5355290495
100	0.5349949241
101	0.5346440444
102	0.5342981268
103	0.5338387156
104	0.5333108835
105	0.5330184018
106	0.5325098577
107	0.532079875
108	0.5317549527
109	0.5314245229
110	0.5311498389
111	0.5307742572
112	0.5303824569
113	0.5300245839
114	0.529826261
115	0.5294589307
116	0.5292125066
117	0.5289532966
118	0.5286403895
119	0.5283348692
120	0.5281145251
121	0.5278861303
122	0.5275179801
123	0.5270553979
124	0.5266731635
125	0.5263974399
126	0.5261480728
127	0.5257486574
128	0.5254571316
129	0.5252055858
130	0.5250290036
131	0.5248202462
132	0.5245695823
133	0.524372299
134	0.5240484689
135	0.5238142595
136	0.5235168063
137	0.5233664426
138	0.5230357287
139	0.5227123532
140	0.52247184
141	0.5221303138
142	0.5219031394
143	0.5217097676
144	0.5214862272
145	0.52118802
146	0.5208480233
147	0.5206425945
148	0.5203205746
149	0.5200910576
150	0.5199741299
151	0.5196553316
152	0.5194473191
153	0.519227498
154	0.5190507555
155	0.5188815364
156	0.5187976449
157	0.5186054154
158	0.5182989454
159	0.5180444884
160	0.5177889442
161	0.5176171754
162	0.5174949555
163	0.5173698427
164	0.5171557066
165	0.5168911742
166	0.5167246549
167	0.5164708387
168	0.5163596841
169	0.5162350514
170	0.5160652495
171	0.5158782649
172	0.5157574294
173	0.5155424619
174	0.5153024627
175	0.515073284
176	0.5148151249
177	0.5145391504
178	0.5143514755
179	0.5142616551
180	0.5140764087
181	0.5139675222
182	0.5137778911
183	0.5135738728
184	0.5132823566
185	0.5131315919
186	0.5130158619
187	0.5127608462
188	0.512588246
189	0.5124448309
190	0.5122872124
191	0.5121343433
192	0.5120212109
193	0.5118948479
194	0.5117312828
195	0.5114618864
196	0.5113923444
197	0.5112650654
198	0.511129315
199	0.5110167154
200	0.5108940196
201	0.5107356161
202	0.5105013709
203	0.5104028755
204	0.5101848343
205	0.5100030483
206	0.5098812211
207	0.5096409504
208	0.5095287824
209	0.5093860165
210	0.5092080335
211	0.5090153858
212	0.5088679848
213	0.5087360731
214	0.5086197361
215	0.5085028968
216	0.5083782955
217	0.5081919716
218	0.5080408668
219	0.5079299771
220	0.5078039906
221	0.5077470322
222	0.5075600436
223	0.5074325524
224	0.5072425165
